d16-all,d50-all,d84-all,SedConc_all [uL/L],avgDepth [m],avgTemp [C],avgSpC [uS/cm]
44.7608271845135,71.91740434706739,106.66804803447265,311.72848905779483,0.4763852910295616,27.907163017644447,440.1965413437779
51.42200204905449,84.50336061756872,124.75671140393978,245.47349624528806,0.4648782135575943,27.95532068391579,440.58222791410526
62.810395016160655,113.06430496930092,252.64161380020894,234.8796992590555,0.5465555728848114,27.974240281157893,440.9613643599999
78.97899551849402,151.20302112124799,264.8883838663685,310.0096846504889,2.059018299694189,27.926679418895997,441.14523241808007
59.486415555075205,99.40383489863859,166.02323128660228,488.03362867588595,3.380840116207951,27.872836096365717,441.07778525680004
78.32525814967437,144.38355850097346,246.91752018390912,486.4700339503638,3.471658712334353,27.874506234511106,441.24114997111116
80.5544660732959,138.3502129836795,230.63309122307885,877.755288051819,3.438917501223241,27.87810015894,441.3267959596001
66.33283194271569,135.6626834609716,274.91124651430295,1106.5389102669706,4.492206982670744,27.84994226984286,441.2274652514286
73.53463782120203,133.72511291743885,260.9935223215564,651.7170702110585,6.103772515392457,27.85213820604138,441.6628258048276
81.61629678851816,134.60703135274264,193.64859606845874,573.6275704912672,6.386483211213049,27.868167126015386,441.8592332575384
65.9474489105109,121.03605298455979,204.78298977916194,754.7588940508808,6.739052062895005,27.856139964874078,441.7708756962963
52.67880316696371,94.3075438302159,194.4459428675006,666.798984344444,8.347523048216104,27.83575107685714,441.92503092361903
61.623435611143755,110.71807081105597,193.28830047481094,562.6912807931092,9.320557672171255,27.833735107503998,442.05714452832007
59.18403588010267,110.56625751551631,175.06896976558505,654.8165341957103,9.366167489296636,27.855261325011767,442.34483060988237
55.65472659487523,97.4803858166548,162.92871016034613,693.0650920860159,9.367582026911316,27.850084453082353,442.2968765785882
59.10390879200289,113.26107789146843,183.19088064558784,564.9448028494317,9.356323875433231,27.851494120490912,442.4107039041817
52.784146668967885,94.92338350859059,152.66789401970095,667.4386636660439,10.217837775127421,27.842477179364707,442.3704046211764
58.328091563930236,107.79385100859734,187.66167849254413,532.6402574389509,11.84840039041794,27.83988338505,442.5852937355
59.047728301882046,107.3878055307646,171.4431848585499,690.2564238162338,12.282480032619773,27.83425924292,442.6094602048
58.72539677174977,103.37855986109341,165.86964467374335,589.1762558523824,12.315552993883792,27.85037163212632,442.7060629741052
44.02760040852929,73.35036109797721,130.3117086933634,736.1049670008861,12.287300788990823,27.836183476106665,442.62917944266667
51.56085665784458,92.0642846223698,187.3287021477104,469.5393786468152,13.730754037716615,27.826651665942855,442.7494326778571
41.89646831554753,73.17099355317588,129.85806745410147,716.1377184224137,15.016611529051989,27.829057612822226,442.95079854911114
46.95034252985059,75.96980749472746,104.57646162155704,514.3322455174456,14.612652568807338,27.8282628726,442.9241884868334
53.126862861094814,92.04140952514273,160.63546189799203,441.61514842853,15.062597107033639,27.84238448672942,443.0721914505882
53.0292359355443,98.74516982008967,258.919469753497,548.7330491836352,15.414678006116207,27.83173400428,443.13403784220003
46.75468946313423,78.57841197958646,172.54353764784247,662.5769581057912,16.579336796126398,27.832900422926315,443.21893124294735
51.95993854117581,91.61482323096716,228.9355672719984,627.4691553681545,17.00549861875637,27.830002191813335,443.239492432
45.29949523782224,72.66272134853143,109.80979635747401,729.637814388231,16.92135511518858,27.829900951640006,443.27156622620004
50.37075143733316,98.7110105090422,352.74370649062496,524.6174448287042,16.977279742099896,27.8299332116875,443.27149986537495
51.417981181558204,89.77541482234581,238.9729094476462,783.3201760409594,17.749625286442402,27.8349107614,443.44662557300006
54.73878065283576,100.49400044652322,219.78222466579166,654.5894517120119,16.097964289500506,27.832392838633336,443.26557561316673
61.33490654158973,109.67321419977121,235.2070002585145,629.5737038023711,11.566165964831804,27.838263798474078,443.25525168800004
51.42370475274744,87.00073379118477,146.20729944496526,670.243258538271,8.00914407869521,27.839223791933332,443.05038386266665
43.25963674799692,69.88558401130204,107.80689453775567,460.92928723806705,3.1241755018348623,27.86082402781739,442.6191380756522
